persones_jur_diques_p_bliques,persones_jur_diques_privades,s_cies_no_treballadores_dones,socis_no_treballadors,s_cies_dones,socis,n_m_total_acc_part,valor_nom_acc_part,capital_social_inicial,data_constituci,prov_ncia,comarca,municipi,cp,adre_a,sector,descripci_ccae,ccae,nom_societat,cif,n_m_inscripci
0,0,0,0,2,2,100,60101,6010121,1992-11-17T00:00:00.000,GIRONA,Pla de l'Estany,Banyoles,[ 17820 ],C. de la Llibertat núm. 30-32,SERVEIS,"Comerç al detall d'ordinadors, equips perifèrics i programes informàtics en establiments especialitzats",[ 4741 ],"COMERCIAL GARESTANY, SAL",A17345869,1177
0,0,1,0,2,1,600,601,360607,2000-03-28T00:00:00.000,BARCELONA,Barcelonès,Badalona,[ 08915 ],AV. MARTÍ PUJOL núm. 372 Pis BAIXOS,SERVEIS,"Comerç a l'engròs de ferreteria, lampisteria i calefacció",[ 4674 ],"MATERIAL D'IL.LUMINACIO, GAS, ELECTRICITAT, SANITARIS I AIGÜES, SLL",B61843918,2935
0,0,0,0,0,4,3000,1,3000,2023-07-14T00:00:00.000,TARRAGONA,Tarragonès,Tarragona,[ 43007 ],C. ROSSINYOL núm. 27,CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"HAOMA BUILDING, SLL",B13877394,7743
0,0,0,0,0,4,306,10,3060,2007-03-28T00:00:00.000,TARRAGONA,Baix Camp,Mont-Roig Del Camp,[  ],C. de la Font núm. 13,SERVEIS,Reparació d'ordinadors i equips perifèrics,[ 9511 ],"SERVTELECOM-JAVD, SLL",B43889013,6548
0,0,0,1,2,0,9210,10,92100,2003-04-09T00:00:00.000,BARCELONA,Bages,Manresa,[ 08242 ],C. Bruc núm. 80 Pis baixos Porta 1,SERVEIS,Activitats de les agències de viatges,[ 7911 ],"MONVIATGES, SLL",B63127955,4950
0,0,0,1,1,2,80000,1,80000,2009-09-03T00:00:00.000,BARCELONA,Vallès Occidental,Castellar Del Vallès,[ 08211 ],C. SOLSONES núm. 5,CONSTRUCCIÓ,Instal·lacions de fusteria,[ 4332 ],"ENVERNISSATS ROMERO I BUSQUETS, SLL",B65135535,7045
0,0,1,0,3,0,80831,1,80831,2011-05-25T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08003 ],via LAIETANA núm. 57 Pis 3 Porta 3,SERVEIS,Relacions públiques i comunicació,[ 7021 ],"LA CHINCHETA COMUNICACION, SLL",B65559064,7272
0,0,0,0,3,39,208147,10,2081470,2011-06-20T00:00:00.000,GIRONA,Gironès,Girona,[ 17005 ],C. Falgars núm. 13,SERVEIS,Edició de periòdics,[ 5813 ],"MAIG 2011, SLL",B55107502,7282
0,0,1,0,1,1,300,100,30000,2012-04-03T00:00:00.000,BARCELONA,Vallès Occidental,Castellar Del Vallès,[  ],PL. Cal Calissó núm. 1,SERVEIS,Activitats auxiliars a l'educació,[ 8560 ],"KAIRÓS VALLÈS, SLL",B65761017,7375
0,0,0,0,1,2,184888,53,9799064,2005-11-15T00:00:00.000,BARCELONA,Vallès Occidental,Castellar Del Vallès,[ 08211 ],C. GARRIGUES Polígon CAN CARNÉ Nau 3,SERVEIS,Altres tipus de comerç a l'engròs,[ 517 ],"AGILITAT EN FILTRACIO, SLL",B63907331,6159
0,0,0,0,0,3,102,3009,306918,2001-02-26T00:00:00.000,GIRONA,Baix Empordà,Palamós,[ 17230 ],C. Àngel Guimerà núm. 76,CONSTRUCCIÓ,Construcció d'edificis residencials,[ 4121 ],"DECORINTER 2000, SLL",B17651001,3470
0,0,1,2,1,2,9800,601,5889919,1989-04-27T00:00:00.000,BARCELONA,Barcelonès,Barcelona,[ 08031 ],C. CASALS núm. 19,INDÚSTRIA,Fabricació d'equips de telecomunicacions,[ 2630 ],"HI-FI RACK, SAL",A58961483,878
0,0,0,0,1,2,79002,1,79002,2018-11-15T00:00:00.000,BARCELONA,Baix Llobregat,Martorell (Martorell),[ 08760 ],C. PUIG DEL RAVELL núm. 15 Esc. A Pis 1 Porta 1,SERVEIS,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",[ 6920 ],"LAKESIDE CONSULTING, SLL",B67290569,7716
0,0,0,0,0,3,21000,1,21000,2022-07-11T00:00:00.000,BARCELONA,Bages,Sant Vicenç De Castellet,[ 08295 ],pol. LES VIVES núm. 1,INDÚSTRIA,Indústria de la pedra ornamental i per a la construcció,[ 2370 ],"MARBRES CATALUNYA LES VIVES, SLL",B10809515,7742
