CIF,Núm. inscripció,Nom societat,Data constitució,CCAE,Descripció CCAE,Sector,Adreça,CP,Municipi,Comarca,Província,Capital social inicial,Valor nom. Acc. Part.,Núm. total acc/part,Socis,Sòcies (dones),Socis no treballadors,Sòcies no treballadores (dones),Persones jurídiques privades,Persones jurídiques públiques
A60281730,1247,"SELIND MONTAJES, SAL",30/04/1993,[ 4322 ],"Lampisteria, instal·lacions de calefacció i aire condicionat",CONSTRUCCIÓ,"CTRA. DE LA ROCA Km. 5,5 Pis 1R Porta LOC",[ 08924 ],Santa Coloma De Gramenet,Barcelonès,BARCELONA,6011924,601,10003,4,3,0,0,0,0
A60284544,1260,"M.B.MONIA BOSCHETTI, SAL",21/05/1993,[ 4618 ],Intermediaris del comerç especialitzat en la venda d'altres productes,SERVEIS,C. FRANCESC MORAGAS núm. 56 Pis ÀTIC Porta 1A,[ 08901 ],"Hospitalet De Llobregat, L'",Barcelonès,BARCELONA,6010121,601,1000,2,2,0,0,0,0
A58355587,248,"GRUP NOU, SAL",11/06/1987,[ 748 ],Activitats empresarials diverses,SERVEIS,C. MUNTANER núm. 475,[ 08021 ],Barcelona,Barcelonès,BARCELONA,6011323,100189,60,2,2,0,0,0,0
A08805475,476,"METALÚRGICA VALLESANA, SAL",07/12/1987,[ 2550 ],"Forja, estampació i embotició de metalls; pulverimetal·lúrgia",INDÚSTRIA,RBLA. CATALUNYA núm. 54,[ 08007 ],Barcelona,Barcelonès,BARCELONA,4002741,601,666,37,36,1,0,0,0
A58236696,479,"MONTAJES INDUSTRIALES DEL VIDRIO Y ALUMINIO CATALAN, SAL",09/12/1987,[ 2562 ],Enginyeria mecànica general per compte d'altri,INDÚSTRIA,C. LLULL núm. 385 Pis 3R Porta 1A,[ 08019 ],Barcelona,Barcelonès,BARCELONA,601012,601,1000,2,2,0,0,0,0
A58619446,823,"HEINDECO, SAL",23/02/1989,[ 2573 ],Fabricació d'eines,INDÚSTRIA,C. ALFONSO XII núm. S/N Bloc ROMA Pis LOCAL Porta B-C,[ 08912 ],Badalona,Barcelonès,BARCELONA,3606073,3005,1200,3,3,1,0,0,0
A60835246,1542,"DISK GRAFIC, SAL",08/06/1995,[ 721 ],Consulta d'equips informàtics,SERVEIS,C. BALCELLS núm. 40,[ 08024 ],Barcelona,Barcelonès,BARCELONA,6010121,601,10000,2,1,1,0,0,0
B62199005,2945,"SISTEMAS INVESTMON, SLL",30/03/2000,[ 8030 ],Activitats d'investigació,SERVEIS,C. DAORA núm. 2-4-6 Esc. 3 Pis BAIXOS Porta 1A,[ 08980 ],Sant Feliu De Llobregat,Baix Llobregat,BARCELONA,301107,601,501,1,1,0,0,0,0
A60354552,1298,"INSTALACIONES TELEFÓNICAS VIC, SAL",09/09/1993,[ 4399 ],Altres activitats especialitzades de la construcció ncaa,CONSTRUCCIÓ,AV. GENERALITAT núm. 3,[ 08570 ],Torelló,Osona,BARCELONA,6010121,3005,2000,2,1,1,1,0,0
A43218551,974,"VAL ENDAVANT, SAL",05/02/1990,[ 1419 ],Confecció d'altres tipus de peces de vestir i accessoris,INDÚSTRIA,"C. BONAVISTA, C/ 3 núm. 69",[ 43001 ],Tarragona,Tarragonès,TARRAGONA,60101,601,100,4,4,1,0,0,0
