CIF;Núm. inscripció;Nom societat;Data constitució;CCAE;Descripció CCAE;Sector;Adreça;CP;Municipi;Comarca;Província;Capital social inicial;Valor nom. Acc. Part.;Núm. total acc/part;Socis;Sòcies (dones);Socis no treballadors;Sòcies no treballadores (dones);Persones jurídiques privades;Persones jurídiques públiques;Year
A17345869;1177;COMERCIAL GARESTANY, SAL;1992-11-17;[ 4741 ];Comerç al detall d'ordinadors, equips perifèrics i programes informàtics en establiments especialitzats;SERVEIS;C. de la Llibertat núm. 30-32;[ 17820 ];Banyoles;Pla de l'Estany;GIRONA;36121.55469811162;60101.0;100;2;2;0;0;0;0;2023
B61843918;2935;MATERIAL D'IL.LUMINACIO, GAS, ELECTRICITAT, SANITARIS I AIGÜES, SLL;2000-03-28;[ 4674 ];Comerç a l'engròs de ferreteria, lampisteria i calefacció;SERVEIS;AV. MARTÍ PUJOL núm. 372 Pis BAIXOS;[ 08915 ];Badalona;Barcelonès;BARCELONA;2167.291719255226;601.0;600;1;2;0;1;0;0;2023
B13877394;7743;HAOMA BUILDING, SLL;2023-07-14;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. ROSSINYOL núm. 27;[ 43007 ];Tarragona;Tarragonès;TARRAGONA;3000.0;1.0;3000;4;0;0;0;0;0;2023
B43889013;6548;SERVTELECOM-JAVD, SLL;2007-03-28;[ 9511 ];Reparació d'ordinadors i equips perifèrics;SERVEIS;C. de la Font núm. 13;[  ];Mont-Roig Del Camp;Baix Camp;TARRAGONA;3060.0;10.0;306;4;0;0;0;0;0;2023
B63127955;4950;MONVIATGES, SLL;2003-04-09;[ 7911 ];Activitats de les agències de viatges;SERVEIS;C. Bruc núm. 80 Pis baixos Porta 1;[ 08242 ];Manresa;Bages;BARCELONA;92100.0;10.0;9210;0;2;1;0;0;0;2023
B65135535;7045;ENVERNISSATS ROMERO I BUSQUETS, SLL;2009-09-03;[ 4332 ];Instal·lacions de fusteria;CONSTRUCCIÓ;C. SOLSONES núm. 5;[ 08211 ];Castellar Del Vallès;Vallès Occidental;BARCELONA;80000.0;1.0;80000;2;1;1;0;0;0;2023
B65559064;7272;LA CHINCHETA COMUNICACION, SLL;2011-05-25;[ 7021 ];Relacions públiques i comunicació;SERVEIS;via LAIETANA núm. 57 Pis 3 Porta 3;[ 08003 ];Barcelona;Barcelonès;BARCELONA;80831.0;1.0;80831;0;3;0;1;0;0;2023
B55107502;7282;MAIG 2011, SLL;2011-06-20;[ 5813 ];Edició de periòdics;SERVEIS;C. Falgars núm. 13;[ 17005 ];Girona;Gironès;GIRONA;2081470.0;10.0;208147;39;3;0;0;0;0;2023
B65761017;7375;KAIRÓS VALLÈS, SLL;2012-04-03;[ 8560 ];Activitats auxiliars a l'educació;SERVEIS;PL. Cal Calissó núm. 1;[  ];Castellar Del Vallès;Vallès Occidental;BARCELONA;30000.0;100.0;300;1;1;0;1;0;0;2023
B63907331;6159;AGILITAT EN FILTRACIO, SLL;2005-11-15;[ 517 ];Altres tipus de comerç a l'engròs;SERVEIS;C. GARRIGUES Polígon CAN CARNÉ Nau 3;[ 08211 ];Castellar Del Vallès;Vallès Occidental;BARCELONA;9799064.0;53.0;184888;2;1;0;0;0;0;2023
B17651001;3470;DECORINTER 2000, SLL;2001-02-26;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;C. Àngel Guimerà núm. 76;[ 17230 ];Palamós;Baix Empordà;GIRONA;1844.614330532617;3009.0;102;3;0;0;0;0;0;2023
A58961483;878;HI-FI RACK, SAL;1989-04-27;[ 2630 ];Fabricació d'equips de telecomunicacions;INDÚSTRIA;C. CASALS núm. 19;[ 08031 ];Barcelona;Barcelonès;BARCELONA;35399.126128400225;601.0;9800;2;1;2;1;0;0;2023
B67290569;7716;LAKESIDE CONSULTING, SLL;2018-11-15;[ 6920 ];Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal;SERVEIS;C. PUIG DEL RAVELL núm. 15 Esc. A Pis 1 Porta 1;[ 08760 ];Martorell (Martorell);Baix Llobregat;BARCELONA;79002.0;1.0;79002;2;1;0;0;0;0;2023
B10809515;7742;MARBRES CATALUNYA LES VIVES, SLL;2022-07-11;[ 2370 ];Indústria de la pedra ornamental i per a la construcció;INDÚSTRIA;pol. LES VIVES núm. 1;[ 08295 ];Sant Vicenç De Castellet;Bages;BARCELONA;21000.0;1.0;21000;3;0;0;0;0;0;2023
B25625658;6606;LA MANGALA, SLL;2007-06-19;[ 8532 ];Activitats de prestació de serveis socials sense allotjament;SERVEIS;C. Carles pol i Aleu núm. 26 bis Pis baixos;[ 25560 ];Sort;Pallars Sobirà;LLEIDA;3006.0;1.0;3006;0;3;0;0;0;0;2023
B55325393;7713;HERBORISTERIA SOC NATURAL, SLL;2018-07-25;[ 4729 ];Comerç al detall d'altres tipus de productes alimentaris en establiments especialitzats;SERVEIS;C. CANIGO núm. 19;[ 17111 ];Forallac (Vulpellac);Baix Empordà;GIRONA;3000.0;1.0;3000;1;2;0;0;0;0;2023
B02906246;7736;KHANMARTO 2021, SLL;2021-05-28;[ 4742 ];Comerç al detall d'equips de telecomunicacions en establiments especialitzats;SERVEIS;C. SANTA CLARA núm. 6 Pis 2;[ 08783 ];Masquefa (Masquefa);Anoia;BARCELONA;3000.0;1.0;3000;2;0;1;0;0;0;2023
B66364829;7602;HIGH EFICENCY MANAGEMENT, SLL;2014-10-22;[ 4322 ];Lampisteria, instal·lacions de calefacció i aire condicionat;CONSTRUCCIÓ;AV. DEL EBRO núm. S/NÚM.  Nau 8 I 9;[ 08184 ];Palau-Solità I Plegamans;Vallès Occidental;BARCELONA;36000.0;1.0;36000;3;0;0;0;0;0;2023
B16866303;7741;ORIENT INTEGRA CAT, SLL;2021-11-25;[ 8812 ];Activitats de serveis socials sense allotjament a persones amb discapacitat;SERVEIS;C. MUNTANER núm. 462 Pis 2 Porta 2B;[ 08006 ];Barcelona (Barcelona);Barcelonès;BARCELONA;3000.0;1.0;3000;1;2;1;0;0;0;2023
A58664095;657;ZINC & CO., SAL;1988-06-08;[ 748 ];Activitats empresarials diverses;SERVEIS;via LAIETANA;[ 08003 ];Barcelona;Barcelonès;BARCELONA;1806.0774343995288;7513.0;40;2;2;0;0;0;0;2023
B42840967;7735;OBRES I REHABILITACIONS VILABERTRAN 2021, SLL;2021-03-29;[ 4121 ];Construcció d'edificis residencials;CONSTRUCCIÓ;PL. MONTURIOL núm. 1 Pis BX;[ 17760 ];Vilabertran (Vilabertran);Alt Empordà;GIRONA;4000.0;1.0;4000;4;0;0;0;0;0;2023
B67452045;7729;NEXE ACCIO EMPRESARIAL, SLL;2019-12-20;[ 7022 ];Altres activitats de consultoria de gestió empresarial;SERVEIS;C. MIRADOR DEL TIBIDABO núm. 13;[ 08757 ];Corbera De Llobregat (Bon Repòs, El);Baix Llobregat;BARCELONA;3000.0;1.0;3000;2;0;0;1;0;0;2023
B67541177;7728;PATAMIC ESPECIALISTAS EN MASCOTAS, SLL;2019-12-05;[ 4776 ];Comerç al detall de flors, plantes, llavors, fertilitzants, animals de companyia i aliments per a animals domèstics en establiments especialitzats;SERVEIS;C. LLUIS PUIGJANER núm. 50 Pis 4 Porta 4;[ 08640 ];Olesa De Montserrat (Olesa De Montserrat);Baix Llobregat;BARCELONA;42000.0;1.0;42000;1;2;0;0;0;0;2023
B17706284;4491;CAN VISTA PRIMA, SLL;2002-07-08;[ 522 ];Comerç al detall d'aliments, begudes i tabac en establiments especialitzats;SERVEIS;C. MADRENYS núm. 12;[ 17185 ];Vilobí D'Onyar;Selva;GIRONA;18030.0;10.0;1803;1;1;0;0;0;0;2023
B17779455;5409;GIROASISTEC, SLL;2004-02-17;[ 52720 ];Reparació d'aparells domèstics elèctrics;SERVEIS;C. FONTAJAU núm. 1 Pis LOCAL Porta 13;[ 17007 ];Girona;Gironès;GIRONA;33000.0;10.0;3300;1;1;1;0;0;0;2023
B60237500;1256;SUMINISTROS DUBLAN, SLL;1993-05-17;[ 524 ];Altres tipus de comerç al detall d'articles nous en establiments especialitzats;SERVEIS;C. DE LES MONGES núm. 11 Pis BAIXOS;[ 08030 ];Barcelona;Barcelonès;BARCELONA;36121.55469811162;15.0;10000;1;0;1;0;0;0;2023
B06812101;7738;VELLANI SERVICIOS Y SOLUCIONES, SLL;2021-10-06;[ 8121 ];Neteja general d'edificis;SERVEIS;C. ROGER DE FLOR núm. 111 Pis 2 Porta 2;[ 08013 ];Barcelona (Barcelona);Barcelonès;BARCELONA;3000.0;1.0;3000;1;2;0;0;0;0;2023
B62089859;2758;FUSINGLASS, SLL;1999-12-15;[ 4334 ];Pintura i vidrieria;CONSTRUCCIÓ;CAMÍ CASETA D'EN CAMP núm. 15-21 Polígon BERENGUER-CABRIANES;[ 08650 ];Sallent;Bages;BARCELONA;1806.0774343995288;3005.0;100;1;1;1;1;0;0;2023
B16716763;7739;ELECTRICA FORTUNY I ASSOCIATS INSTAL·LACIONS, SLL;2021-10-15;[ 4321 ];Instal·lacions elèctriques;CONSTRUCCIÓ;AV. REI EN JAUME núm. 119 Pis BX;[ 08440 ];Cardedeu (Cardedeu);Vallès Oriental;BARCELONA;29740.0;2974.0;100;4;0;0;0;0;0;2023
B66076290;7501;LCY CONSULTORS, OPERADORS I EMMAGATZEMATGE LOGISTIC, SLL;2013-07-15;[ 5210 ];Dipòsit i emmagatzematge;SERVEIS;C. ROSSELLÓ núm. 38;[ 08401 ];Granollers;Vallès Oriental;BARCELONA;45000.0;100.0;450;3;0;0;0;0;0;2023
B55352439;7725;TREBALLS CARNICS ASSOCIATS, SLL;2019-07-30;[ 1011 ];Sacrifici de bestiar i conservació de carn;INDÚSTRIA;C. DR. CODINA núm. 30;[ 17165 ];Cellera De Ter, La (Cellera De Ter, La);Selva;GIRONA;4720.0;1.0;4720;143;38;0;0;0;0;2023
B66223470;7551;LANV NET SOLUTIONS, SLL;2014-02-25;[ 6201 ];Activitats de programació informàtica;SERVEIS;C. TIBIDABO núm. 14;[ 08319 ];Dosrius;Maresme;BARCELONA;28000.0;1.0;28000;2;0;1;0;0;0;2023
B06870547;7737;DYNAMIC VERTICAL SOLUTIONS, SLL;2021-09-08;[ 4122 ];Construcció d'edificis no residencials;CONSTRUCCIÓ;C. PARIS núm. 16 Pis NAU Porta 3;[ 08191 ];Rubí (Rubí);Vallès Occidental;BARCELONA;3000.0;10.0;300;1;1;0;0;0;0;2023
B66473620;7626;TRANSPORTES 4 DRIVERS, SLL;2015-02-20;[ 4941 ];Transport de mercaderies per carretera, excepte servei de mudances;SERVEIS;C. Mestre Feliu Monne núm. 26 Pis 2 Porta 3;[ 08292 ];Esparreguera;Baix Llobregat;BARCELONA;29000.0;1.0;29000;5;1;0;0;0;0;2023
B66664772;7664;GAC COMMUNICATION AND ENTERTAINMENT, SLL;2015-12-22;[ 8551 ];Educació relacionada amb l'esport i les activitats recreatives;SERVEIS;C. CAN LLETGET Nau 11;[ 08002 ];Sabadell;Vallès Occidental;BARCELONA;55500.0;100.0;555;1;1;0;0;1;0;2023
B64289580;6482;VIATGES GARAY, SLL;2006-11-28;[ 7911 ];Activitats de les agències de viatges;SERVEIS;"C. C/ BLASCO DE GARAY, 89""""";[ 08228 ];Terrassa;Vallès Occidental;BARCELONA;60204.0;1.0;60204;0;2;1;0;0;0;2023
B43871375;6464;ALUMINIS MONTSIA PERSIANES I VIDRES, SLL;2006-11-06;[ 2512 ];Fabricació de tancaments metàl·lics;INDÚSTRIA;"C. C/ BOLIVIA, 56, 1R 2A""""";[ 43870 ];Amposta;Montsià;TARRAGONA;39000.0;10.0;3900;2;0;1;0;0;0;2023
B17533035;1799;BAIX EMPORDA-2000, SLL;1998-02-05;[ 5610 ];Restaurants i establiments de menjars;SERVEIS;"urb. MAS PERE, RESTAURANT """"LA FIG""";[ 17251 ];Calonge;Baix Empordà;GIRONA;7224.309737598115;601.0;200;1;1;1;1;0;0;2023
B64248271;6629;LABER GESTION DE RIESGOS, SLL;2007-07-11;[ 6622 ];Activitats d'agents i corredors d'assegurances;SERVEIS;"C. C/ JACINT VERDAGUER, 63""""";[ 08750 ];Molins De Rei;Baix Llobregat;BARCELONA;30000.0;1.0;30000;2;0;0;2;0;0;2023
